"species","temp","barrier","length","prosper","size","pisc","crop","AIC"
"BRMN","-0.027","0.283*","0.277*","0.125","0.133","-0.047","0.108",64.24
"CARP","0.251*","0.208","0.072","-0.077","-0.187","0.097","-0.107",88.25
"CCAT","-0.423*","0.006","0.097","-0.104","0.083","-0.267","-0.020",40.01
"CRCH","-0.344*","-0.020","-0.154","0.257*","0.078","-0.052","-0.095",109.86
"EB","-0.261*","0.164","-0.096","-0.206","0.152","-0.010","-0.111",50.35
"FHCH","0.137","-0.213*","0.059","0.154*","0.041","-0.173*","-0.223*",82.1
"FHMN","0.189*","0.103","0.353*","0.041","-0.202*","0.010","-0.102",208.07
"GSUN","-0.136","-0.016","-0.197","0.091","0.255",NA,"0.306",102.87
"LKCH","0.231","0.081","-0.145","0.123","-0.085","-0.307","-0.029",78.05
"LL","-0.351*","0.035","0.223","0.058","-0.189",NA,"0.144",84.69
"LNDC","-0.183*","0.126","-0.031","-0.141","0.155","-0.181*","-0.183*",229.62
"LNSU","-0.332*","0.102","-0.023","-0.168*","0.189*","0.127*","-0.059",108.67
"PLMN","-0.327","0.094","-0.206","-0.005","0.209","-0.015","-0.144",69.66
"PLSU","-0.153","-0.214","0.142","-0.144","0.072","-0.141","-0.135",87.64
"RB","-0.064","0.049","-0.016","-0.295","0.369","-0.028","-0.178",80.12
"RCSU","-0.227*","0.106","0.449*","0.023","-0.109","-0.034","-0.052",47.94
"SCAT","0.056","0.239","0.024","0.074","0.346","0.178","-0.083",77.75
"SDSH","0.104","-0.001","0.587*","0.020","-0.004","-0.104","-0.180*",97.43
"SHRH","0.035","0.791","0.011","-0.033","-0.064","-0.044","-0.022",58.74
"WSU","0.032","0.227","0.038","0.191","0.096","0.144","-0.273*",243.17
