"species","temp","barrier","length","prosper","pisc","AIC"
"BRMN","0.038","0.374*","0.412*","0.159","0.016",62.91
"BRSB","0.248","0.204","0.161","0.248","0.138",53.29
"CARP","0.386*","0.266","0.087","0.147","0.114",87.65
"CCAT","0.408*","0.009","0.191","0.135","0.258",36.17
"CMSH","0.046","0.821","0.022","0.059","0.053",27.32
"CRCH","0.433*","0.000","0.176","0.318*","0.073",106.78
"EB","0.322*","0.229","0.117","0.285*","0.047",47.5
"FHCH","0.238*","0.271*","0.132","0.151","0.208*",83.35
"FHMN","0.242","0.087","0.545*","0.054","0.071",209.59
"GE","0.046","0.591","0.129","0.214","0.020",29.16
"GSUN","0.295","0.088","0.353","0.263",NA,103.98
"IOWA","0.475*","0.100","0.220","0.129","0.076",40.31
"JDT","0.098","0.225","0.033","0.325","0.319*",27.32
"LKCH","0.261","0.090","0.162","0.108","0.379",74.2
"LL","0.526*","0.082","0.294","0.098",NA,82.01
"LNDC","0.241*","0.262*","0.058","0.216*","0.223*",231.94
"LNSU","0.371*","0.212*","0.007","0.186","0.224*",110.95
"NP","0.068","0.768","0.108","0.057",NA,35.27
"NRBDC","0.006","0.016","0.073","0.126","0.778",37.64
"PLMN","0.544","0.225","0.185","0.006","0.040",66.8
"PLSU","0.172","0.222","0.189","0.248","0.170",84.32
"RB","0.089","0.226","0.046","0.556","0.083",77.79
"RCSU","0.308*","0.087","0.537","0.002","0.066",45.62
"SCAT","0.187","0.346","0.192","0.023","0.251",74.77
"SDSH","0.126","0.022","0.679*","0.005","0.168",97.13
"SHRH","0.025","0.897","0.005","0.019","0.054",56.85
"SMB","0.518","0.004","0.350","0.128",NA,18.59
"STR","0.142","0.286","0.027","0.342","0.203",12
"WSU","0.023","0.449*","0.118","0.235","0.174",244.77
